tweet_length,tweet_digits_count,tweet_mean_bigram_freq,tweet_entropy,tweet_'bot'_count,tweet_hashtag_count,tweet_url_count,tweet_unique_url_count,tweet_unique_mention_count,tweet_fraction_lowercase_words,tweet_fraction_uppercase_words,tweet_word_count,tweet_sentence_count,tweet_avg_word_length,tweet_avg_word_per_sentence,tweet_repeated_words,tweet_question_count,tweet_exclamation_count,tweet_special_characters,tweet_noun_counts,tweet_adjective_count,tweet_adverb_count,tweet_verb_count,tweet_pronoun_count,tweet_sentiment_score,tweet_adjective_counts,tweet_adverb_counts,tweet_verb_counts,tweet_pronoun_counts
129,0,1.0,4.558292098771136,0,0,0,0,2,1.0,0.0,12,2,5.25,6.0,{},0,0,6,3,0,0,0,0,Positive,4,0,4,0
160,4,1.0,4.330300144764271,1,0,0,0,0,0.9411764705882353,0.058823529411764705,17,2,5.9411764705882355,8.5,{'&': 3},0,0,7,7,0,0,0,0,Positive,1,1,3,1
81,0,1.0,4.472781491560939,0,0,0,0,2,1.0,0.0,9,1,5.888888888888889,9.0,{},0,0,4,3,0,0,0,0,Neutral,1,0,1,0
97,0,1.0,4.4849778279797885,0,0,0,0,0,0.0,0.0,0,4,0.0,0.0,{},0,1,5,1,0,0,0,0,Positive,0,0,0,0
36,0,1.0,4.009523959475163,0,0,0,0,1,0.75,0.25,4,0,4.0,0.0,{},0,0,2,2,0,0,0,0,Neutral,0,0,0,0
150,2,1.0,4.961517104080542,0,0,1,1,3,1.0,0.0,7,2,3.4285714285714284,3.5,{},0,0,17,4,0,0,0,0,Neutral,0,0,0,0
42,0,1.0,4.071271150031998,0,0,0,0,0,1.0,0.0,1,1,9.0,1.0,{},0,0,2,0,0,0,0,0,Neutral,1,1,1,0
117,0,1.0,4.444000083622377,0,0,0,0,0,1.0,0.0,14,4,5.428571428571429,3.5,{},0,0,10,10,0,0,0,0,Positive,1,3,2,0
26,0,1.0,3.950063756436209,0,0,0,0,0,1.0,0.0,2,1,6.5,2.0,{'stay': 2},0,0,2,0,0,0,0,0,Negative,2,0,2,0
94,2,1.1818181818181819,4.587075857260254,1,0,2,2,0,1.0,0.0,12,2,4.777777777777778,6.0,{'¶': 2},0,0,14,1,0,0,0,0,Neutral,0,1,0,0
64,0,1.0,4.264162751096862,0,0,0,0,0,1.0,0.0,6,0,5.166666666666667,0.0,{},0,0,3,3,0,0,0,0,Neutral,1,0,0,0
11,0,0.0,3.0957952550009344,0,0,0,0,0,1.0,0.0,1,0,11.0,0.0,{},0,0,0,1,0,0,0,0,Neutral,0,0,0,0
156,0,1.0833333333333333,4.352888848589989,0,0,0,0,0,0.84,0.16,25,4,4.8,6.25,"{'i': 2, 'will': 2, 'people': 2, 'who': 3, 'back': 2, 'unfollow': 2}",0,1,9,3,0,0,0,0,Neutral,1,2,6,10
78,0,1.0,4.086792300974111,0,0,0,0,0,0.8333333333333334,0.16666666666666666,12,1,4.916666666666667,12.0,{},0,0,2,6,0,0,0,0,Positive,2,0,1,1
30,0,1.0,3.32742132943338,0,0,0,0,0,1.0,0.0,7,1,3.2857142857142856,7.0,{},1,0,1,0,0,0,0,0,Neutral,1,1,2,1
57,1,1.0,4.746641821868359,0,0,1,1,0,1.0,0.0,7,3,3.2857142857142856,2.3333333333333335,{},1,1,10,1,0,0,0,0,Positive,0,1,2,2
160,0,1.0476190476190477,4.518610607871064,0,0,0,0,2,0.8,0.2,15,4,4.666666666666667,3.75,"{'i': 2, 'write': 2, 'about': 2}",0,0,10,6,0,0,0,0,Neutral,0,1,4,2
69,0,1.0,4.109647567602642,0,0,0,0,0,1.0,0.0,8,1,4.5,8.0,{},0,0,2,1,0,0,0,0,Positive,0,0,0,0
78,3,1.0,4.279333138991456,1,0,0,0,0,1.0,0.0,1,0,3.0,0.0,{},0,0,3,1,0,0,0,0,Positive,0,0,1,0
133,2,1.0,4.365796240298129,1,0,0,0,3,0.9473684210526315,0.05263157894736842,19,3,4.631578947368421,6.333333333333333,{'you': 2},0,0,6,5,0,0,0,0,Positive,0,1,4,5
36,0,1.0,3.780591322803325,0,0,0,0,0,0.8571428571428571,0.14285714285714285,7,1,3.7142857142857144,7.0,{},0,0,3,0,0,0,0,0,Neutral,0,2,1,2
89,0,1.0,4.1360816125442845,0,0,0,0,0,0.9375,0.0625,16,2,4.4,8.0,{'my': 2},0,0,2,6,0,0,0,0,Negative,1,0,1,3
